,Name,mfg_num,lrv,rgb,category,hexcode
30,Serene Journey,BIC-11,LRV 67,"['R 207', 'G 216', 'B 209']",Blue color family,background-color:#CFD8D1;
31,Siamese Green,BIC-12,LRV 38,"['R 157', 'G 172', 'B 121']",Green color family,background-color:#9DAC79;
32,Chilled Cucumber,BIC-13,LRV 60,"['R 203', 'G 205', 'B 178']",Green color family,background-color:#CBCDB2;
33,Fresh Nectar,BIC-14,LRV 44,"['R 218', 'G 166', 'B 116']",Orange color family,background-color:#DAA674;
34,Golden Poppy,BIC-15,LRV 35,"['R 209', 'G 146', 'B 96']",Orange color family,background-color:#D19260;
35,Brandied Pears,BIC-16,LRV 32,"['R 183', 'G 145', 'B 123']",,background-color:#B7917B;
36,Berry Blush,BIC-19,LRV 29,"['R 184', 'G 133', 'B 145']",Red color family,background-color:#B88591;
37,Lively Lilac,BIC-20,LRV 31,"['R 144', 'G 150', 'B 183']",Purple color family,background-color:#9096B7;
38,Relaxed Blue,BIC-22,LRV 23,"['R 105', 'G 138', 'B 151']",,background-color:#698A97;
39,Hopeful Blue,BIC-23,LRV 46,"['R 162', 'G 185', 'B 191']",Blue color family,background-color:#A2B9BF;
40,Artful Aqua,BIC-24,LRV 42,"['R 145', 'G 180', 'B 179']",Blue color family,background-color:#91B4B3;
41,Spring Sprig,BIC-25,LRV 48,"['R 162', 'G 192', 'B 155']",Green color family,background-color:#A2C09B;
42,Aloe Plant,BIC-26,LRV 27,"['R 129', 'G 147', 'B 113']",Green color family,background-color:#819371;
43,Modish Moss,BIC-27,LRV 47,"['R 195', 'G 182', 'B 139']",,background-color:#C3B68B;
45,Corkboard,BIC-30,LRV 40,"['R 203', 'G 164', 'B 119']",,background-color:#CBA477;
46,Grand Sunset,BIC-32,LRV 32,"['R 195', 'G 141', 'B 135']",,background-color:#C38D87;
47,Cinnamon Candle,BIC-33,LRV 18,"['R 177', 'G 93', 'B 99']",,background-color:#B15D63;
48,Winning Red,BIC-34,LRV 9,"['R 137', 'G 65', 'B 68']",Red color family,background-color:#894144;
50,Dark Iris,BIC-37,LRV 10,"['R 77', 'G 90', 'B 126']",,background-color:#4D5A7E;
51,Honest Blue,BIC-38,LRV 21,"['R 90', 'G 131', 'B 158']",,background-color:#5A839E;
52,Blue Green Gem,BIC-39,LRV 51,"['R 124', 'G 203', 'B 197']",Blue color family,background-color:#7CCBC5;
53,Veiled Chameleon,BIC-40,LRV 40,"['R 128', 'G 182', 'B 144']",,background-color:#80B690;
55,Optimist Gold,BIC-43,LRV 47,"['R 233', 'G 171', 'B 81']",,background-color:#E9AB51;
56,Chamois Leather,BIC-44,LRV 27,"['R 173', 'G 136', 'B 103']",,background-color:#AD8867;
57,Airbrushed Copper,BIC-45,LRV 20,"['R 170', 'G 108', 'B 81']",,background-color:#AA6C51;
58,Clay Red,BIC-46,LRV 18,"['R 175', 'G 96', 'B 77']",Orange color family,background-color:#AF604D;
59,Caliente,BIC-47,LRV 14,"['R 149', 'G 89', 'B 74']",,background-color:#95594A;
60,Fortune Red,BIC-48,LRV 16,"['R 176', 'G 83', 'B 77']",Red color family,background-color:#B0534D;
61,Red Red Red,BIC-49,LRV 10,"['R 145', 'G 64', 'B 61']",,background-color:#91403D;
63,July Ruby,BIC-51,LRV 8,"['R 119', 'G 59', 'B 74']",Red color family,background-color:#773B4A;
64,Loyalty,BIC-52,LRV 11,"['R 78', 'G 97', 'B 117']",Purple color family,background-color:#4E6175;
65,Turquoise,BIC-53,LRV 31,"['R 95', 'G 160', 'B 171']",Blue color family,background-color:#5FA0AB;
66,Vert Pierre,BIC-54,LRV 11,"['R 74', 'G 97', 'B 92']",Green color family,background-color:#4A615C;
67,Garden Greenery,BIC-55,LRV 20,"['R 101', 'G 131', 'B 105']",Green color family,background-color:#658369;
68,Jalapeno,BIC-56,LRV 18,"['R 113', 'G 120', 'B 88']",,background-color:#717858;
69,French Parsley,BIC-57,LRV 34,"['R 158', 'G 160', 'B 125']",Green color family,background-color:#9EA07D;
70,Whispering Waterfall,BL-W06,LRV 78,"['R 227', 'G 230', 'B 219']",White color family,background-color:#E3E6DB;
