,Name,mfg_num,lrv,rgb,category,hexcode
625,Smokin Hot,MQ1-24,LRV 12,"['R 149', 'G 74', 'B 61']",Red color family,background-color:#954A3D;
627,Orange Flambe,MQ1-28,LRV 21,"['R 169', 'G 111', 'B 85']",Orange color family,background-color:#A96F55;
628,Carmelite,MQ1-29,LRV 30,"['R 185', 'G 137', 'B 112']",,background-color:#B98970;
629,Peachy Confection,MQ1-30,LRV 44,"['R 212', 'G 168', 'B 141']",,background-color:#D4A88D;
630,Cockleshell,MQ1-31,LRV 60,"['R 227', 'G 198', 'B 175']",,background-color:#E3C6AF;
631,Cinema Screen,MQ1-32,LRV 26,"['R 149', 'G 135', 'B 142']",Neutral color family,background-color:#95878E;
632,Sultry Smoke,MQ1-33,LRV 15,"['R 115', 'G 105', 'B 111']",Gray color family,background-color:#73696F;
633,Off Broadway,MQ1-35,LRV 5,"['R 67', 'G 63', 'B 61']",,background-color:#433F3D;
634,Object Of Desire,MQ1-36,LRV 41,"['R 183', 'G 168', 'B 168']",,background-color:#B7A8A8;
635,Fashion Week,MQ1-37,LRV 26,"['R 153', 'G 137', 'B 136']",,background-color:#998988;
636,Smoked Mulberry,MQ1-38,LRV 13,"['R 114', 'G 95', 'B 108']",Red color family,background-color:#725F6C;
637,Prussian Plum,MQ1-39,LRV 9,"['R 111', 'G 75', 'B 92']",,background-color:#6F4B5C;
638,Tribeca,MQ1-40,LRV 30,"['R 164', 'G 145', 'B 141']",Neutral color family,background-color:#A4918D;
639,Autumn Ashes,MQ1-41,LRV 16,"['R 129', 'G 107', 'B 104']",Neutral color family,background-color:#816B68;
640,Briar Wood,MQ1-42,LRV 10,"['R 105', 'G 84', 'B 81']",Neutral color family,background-color:#695451;
641,Piano Brown,MQ1-43,LRV 8,"['R 92', 'G 76', 'B 74']",,background-color:#5C4C4A;
642,Wild Boysenberry,MQ1-44,LRV 7,"['R 90', 'G 71', 'B 71']",Red color family,background-color:#5A4747;
643,Versailles Rose,MQ1-45,LRV 46,"['R 196', 'G 176', 'B 173']",,background-color:#C4B0AD;
644,Antoinette,MQ1-46,LRV 32,"['R 176', 'G 147', 'B 145']",Neutral color family,background-color:#B09391;
645,Touch Of Class,MQ1-47,LRV 18,"['R 142', 'G 111', 'B 110']",Neutral color family,background-color:#8E6F6E;
646,Czarina,MQ1-48,LRV 12,"['R 119', 'G 88', 'B 89']",Neutral color family,background-color:#775859;
647,Raspberry Truffle,MQ1-49,LRV 7,"['R 94', 'G 65', 'B 69']",,background-color:#5E4145;
648,Art Deco Pink,MQ1-50,LRV 45,"['R 205', 'G 172', 'B 160']",,background-color:#CDACA0;
649,Mesa Peach,MQ1-51,LRV 33,"['R 193', 'G 145', 'B 128']",,background-color:#C19180;
650,Fresh Cedar,MQ1-52,LRV 25,"['R 167', 'G 127', 'B 116']",Red color family,background-color:#A77F74;
652,Death By Chocolate,MQ1-54,LRV 7,"['R 96', 'G 68', 'B 63']",Neutral color family,background-color:#60443F;
653,Lite Cocoa,MQ1-55,LRV 35,"['R 181', 'G 154', 'B 141']",Neutral color family,background-color:#B59A8D;
654,Elkhound,MQ1-56,LRV 18,"['R 137', 'G 114', 'B 105']",Neutral color family,background-color:#897269;
655,Secret Journal,MQ1-57,LRV 13,"['R 124', 'G 96', 'B 85']",Neutral color family,background-color:#7C6055;
656,Chocolate Soul,MQ1-58,LRV 7,"['R 92', 'G 73', 'B 69']",Neutral color family,background-color:#5C4945;
657,Caramel Cream,MQ1-59,LRV 33,"['R 184', 'G 148', 'B 127']",Orange color family,background-color:#B8947F;
658,Leather Clutch,MQ1-62,LRV 9,"['R 116', 'G 78', 'B 66']",,background-color:#744E42;
659,Burnished Brandy,MQ2-01,LRV 15,"['R 139', 'G 102', 'B 78']",Orange color family,background-color:#8B664E;
660,Syrup,MQ2-02,LRV 28,"['R 177', 'G 136', 'B 103']",Yellow color family,background-color:#B18867;
661,Key To The City,MQ2-03,LRV 35,"['R 187', 'G 155', 'B 124']",Orange color family,background-color:#BB9B7C;
662,Butterscotch Amber,MQ2-04,LRV 47,"['R 211', 'G 176', 'B 144']",Yellow color family,background-color:#D3B090;
663,Authentic Brown,MQ2-05A,LRV 10,"['R 107', 'G 84', 'B 70']",,background-color:#6B5446;
664,Gilded Glamour,MQ2-06,LRV 17,"['R 149', 'G 104', 'B 65']",,background-color:#956841;
665,City Sunrise,MQ2-07,LRV 43,"['R 209', 'G 166', 'B 125']",,background-color:#D1A67D;
666,Irish Cream,MQ2-08,LRV 60,"['R 225', 'G 200', 'B 171']",,background-color:#E1C8AB;
667,Clockworks,MQ2-09,LRV 11,"['R 114', 'G 87', 'B 61']",Neutral color family,background-color:#72573D;
668,Burnt Caramel,MQ2-10,LRV 14,"['R 132', 'G 98', 'B 66']",Orange color family,background-color:#846242;
669,Outdoor Land,MQ2-11,LRV 23,"['R 160', 'G 125', 'B 94']",Yellow color family,background-color:#A07D5E;
670,Milano,MQ2-12,LRV 39,"['R 193', 'G 161', 'B 129']",Yellow color family,background-color:#C1A181;
671,Harvest Home,MQ2-13,LRV 45,"['R 203', 'G 174', 'B 132']",,background-color:#CBAE84;
672,Lavish Gold,MQ2-14,LRV 24,"['R 163', 'G 129', 'B 84']",,background-color:#A38154;
673,Baguette,MQ2-15,LRV 32,"['R 181', 'G 147', 'B 106']",Yellow color family,background-color:#B5936A;
674,Summer In The City,MQ2-16,LRV 40,"['R 205', 'G 161', 'B 104']",,background-color:#CDA168;
676,Honey Tea,MQ2-18,LRV 53,"['R 216', 'G 190', 'B 137']",,background-color:#D8BE89;
678,Safari Chic,MQ2-20,LRV 41,"['R 183', 'G 170', 'B 150']",,background-color:#B7AA96;
679,Elemental Tan,MQ2-21,LRV 49,"['R 202', 'G 183', 'B 156']",,background-color:#CAB79C;
680,Hayloft,MQ2-22,LRV 50,"['R 205', 'G 186', 'B 150']",Yellow color family,background-color:#CDBA96;
681,Almond Butter,MQ2-23,LRV 58,"['R 216', 'G 198', 'B 168']",,background-color:#D8C6A8;
682,Golden Olive,MQ2-24,LRV 34,"['R 174', 'G 155', 'B 128']",Neutral color family,background-color:#AE9B80;
683,British Khaki,MQ2-25,LRV 41,"['R 189', 'G 168', 'B 141']",Neutral color family,background-color:#BDA88D;
684,Studio Clay,MQ2-27,LRV 62,"['R 217', 'G 204', 'B 184']",White color family,background-color:#D9CCB8;
685,Modern History,MQ2-28,LRV 38,"['R 190', 'G 162', 'B 125']",Yellow color family,background-color:#BEA27D;
686,Cliff Ridge,MQ2-29,LRV 44,"['R 197', 'G 174', 'B 128']",Yellow color family,background-color:#C5AE80;
688,Scribe,MQ2-31,LRV 71,"['R 229', 'G 219', 'B 193']",Yellow color family,background-color:#E5DBC1;
689,Mink Haze,MQ2-32,LRV 46,"['R 197', 'G 178', 'B 159']",Neutral color family,background-color:#C5B29F;
690,Parisian Cafè,MQ2-33,LRV 29,"['R 164', 'G 144', 'B 133']",Neutral color family,background-color:#A49085;
691,Bistro,MQ2-34,LRV 11,"['R 112', 'G 89', 'B 80']",Neutral color family,background-color:#705950;
692,Cabin In The Woods,MQ2-35,LRV 8,"['R 93', 'G 77', 'B 71']",,background-color:#5D4D47;
693,Elusive Dawn,MQ2-36,LRV 54,"['R 213', 'G 191', 'B 173']",Orange color family,background-color:#D5BFAD;
694,Eiffel For You,MQ2-37,LRV 40,"['R 185', 'G 167', 'B 149']",Neutral color family,background-color:#B9A795;
696,Rare Wood,MQ2-39,LRV 8,"['R 89', 'G 76', 'B 66']",Neutral color family,background-color:#594C42;
697,French Pastry,MQ2-40,LRV 42,"['R 196', 'G 170', 'B 146']",Orange color family,background-color:#C4AA92;
698,Cavern Clay,MQ2-41,LRV 34,"['R 182', 'G 153', 'B 129']",Orange color family,background-color:#B69981;
699,Warm Cognac,MQ2-42,LRV 25,"['R 168', 'G 129', 'B 104']",Orange color family,background-color:#A88168;
700,Antiquities,MQ2-43,LRV 17,"['R 138', 'G 108', 'B 87']",Neutral color family,background-color:#8A6C57;
701,Museum,MQ2-44,LRV 11,"['R 104', 'G 89', 'B 81']",Neutral color family,background-color:#685951;
702,Craft Juggler,MQ2-45,LRV 61,"['R 227', 'G 200', 'B 170']",Yellow color family,background-color:#E3C8AA;
704,Midtown,MQ2-47,LRV 37,"['R 181', 'G 161', 'B 138']",Neutral color family,background-color:#B5A18A;
705,Sturdy Brown,MQ2-48,LRV 25,"['R 155', 'G 133', 'B 111']",Neutral color family,background-color:#9B856F;
706,Kaffee,MQ2-49,LRV 16,"['R 129', 'G 109', 'B 90']",,background-color:#816D5A;
707,Gravelstone,MQ2-50,LRV 58,"['R 211', 'G 199', 'B 184']",White color family,background-color:#D3C7B8;
708,Pasha Brown,MQ2-51,LRV 48,"['R 195', 'G 183', 'B 164']",Neutral color family,background-color:#C3B7A4;
709,Roadside,MQ2-52,LRV 37,"['R 173', 'G 164', 'B 147']",Neutral color family,background-color:#ADA493;
710,Smoky Trout,MQ2-53,LRV 21,"['R 133', 'G 125', 'B 114']",Gray color family,background-color:#857D72;
711,Gardener's Soil,MQ2-54,LRV 9,"['R 92', 'G 83', 'B 77']",,background-color:#5C534D;
712,Park Avenue,MQ2-55,LRV 45,"['R 187', 'G 179', 'B 168']",Neutral color family,background-color:#BBB3A8;
713,Abbey Stone,MQ2-56,LRV 38,"['R 175', 'G 163', 'B 151']",,background-color:#AFA397;
714,Art District,MQ2-57,LRV 26,"['R 148', 'G 137', 'B 124']",Neutral color family,background-color:#94897C;
715,Unpredictable Hue,MQ2-58,LRV 18,"['R 123', 'G 116', 'B 107']",,background-color:#7B746B;
716,Silver City,MQ2-59,LRV 57,"['R 200', 'G 200', 'B 194']",Gray color family,background-color:#C8C8C2;
717,Iron Gate,MQ2-60,LRV 31,"['R 157', 'G 151', 'B 141']",Gray color family,background-color:#9D978D;
718,Magnet,MQ2-61,LRV 16,"['R 113', 'G 113', 'B 110']",Gray color family,background-color:#71716E;
719,Peppery,MQ2-62,LRV 10,"['R 91', 'G 87', 'B 82']",Gray color family,background-color:#5B5752;
720,Josephine,MQ3-01,LRV 56,"['R 211', 'G 195', 'B 190']",Neutral color family,background-color:#D3C3BE;
721,Kyoto Pearl,MQ3-02,LRV 68,"['R 223', 'G 214', 'B 209']",,background-color:#DFD6D1;
722,Pink Chalk,MQ3-03,LRV 75,"['R 228', 'G 223', 'B 219']",White color family,background-color:#E4DFDB;
723,Quiet On The Set,MQ3-04,LRV 76,"['R 228', 'G 226', 'B 221']",Yellow color family,background-color:#E4E2DD;
724,Bella Mia,MQ3-05,LRV 59,"['R 218', 'G 197', 'B 189']",,background-color:#DAC5BD;
725,Granite Dust,MQ3-06,LRV 63,"['R 215', 'G 206', 'B 196']",Neutral color family,background-color:#D7CEC4;
726,Vision Of Light,MQ3-07,LRV 67,"['R 223', 'G 211', 'B 203']",Neutral color family,background-color:#DFD3CB;
727,Ballerina Beauty,MQ3-08,LRV 74,"['R 232', 'G 222', 'B 214']",White color family,background-color:#E8DED6;
728,Loft Light,MQ3-09,LRV 61,"['R 220', 'G 202', 'B 183']",Neutral color family,background-color:#DCCAB7;
729,French Beige,MQ3-10,LRV 59,"['R 213', 'G 200', 'B 181']",White color family,background-color:#D5C8B5;
730,Dainty Lace,MQ3-11,LRV 64,"['R 222', 'G 207', 'B 187']",White color family,background-color:#DECFBB;
732,Crisp Linen,MQ3-13,LRV 76,"['R 231', 'G 225', 'B 211']",,background-color:#E7E1D3;
733,Springday,MQ3-14,LRV 67,"['R 219', 'G 215', 'B 183']",Yellow color family,background-color:#DBD7B7;
734,Bell Tower,MQ3-15,LRV 64,"['R 218', 'G 208', 'B 187']",Yellow color family,background-color:#DAD0BB;
735,Limescent,MQ3-16,LRV 66,"['R 224', 'G 212', 'B 183']",Yellow color family,background-color:#E0D4B7;
736,Chartreuse Frost,MQ3-17,LRV 72,"['R 228', 'G 220', 'B 198']",,background-color:#E4DCC6;
737,Ginger Sugar,MQ3-18,LRV 70,"['R 221', 'G 218', 'B 206']",,background-color:#DDDACE;
738,Misty Isle,MQ3-19,LRV 73,"['R 197', 'G 228', 'B 220']",Blue color family,background-color:#C5E4DC;
739,Whipped Mint,MQ3-20,LRV 69,"['R 199', 'G 221', 'B 214']",,background-color:#C7DDD6;
740,Breezeway,MQ3-21,LRV 66,"['R 204', 'G 216', 'B 207']",Blue color family,background-color:#CCD8CF;
741,Curio,MQ3-22,LRV 67,"['R 211', 'G 216', 'B 210']",,background-color:#D3D8D2;
742,Statuesque,MQ3-23,LRV 74,"['R 224', 'G 223', 'B 217']",,background-color:#E0DFD9;
743,Gray Shimmer,MQ3-25,LRV 69,"['R 214', 'G 217', 'B 216']",,background-color:#D6D9D8;
744,Mainsail,MQ3-26,LRV 73,"['R 217', 'G 223', 'B 226']",,background-color:#D9DFE2;
745,Etched Glass,MQ3-27,LRV 75,"['R 221', 'G 226', 'B 226']",Gray color family,background-color:#DDE2E2;
746,Rock Crystal,MQ3-28,LRV 60,"['R 206', 'G 203', 'B 203']",Gray color family,background-color:#CECBCB;
747,So Shy,MQ3-29,LRV 67,"['R 218', 'G 213', 'B 214']",Gray color family,background-color:#DAD5D6;
748,Petal Tip,MQ3-30,LRV 70,"['R 217', 'G 217', 'B 223']",Purple color family,background-color:#D9D9DF;
749,Cameo White,MQ3-32,LRV 81,"['R 235', 'G 232', 'B 226']",White color family,background-color:#EBE8E2;
750,Crème De La Crème,MQ3-33,LRV 73,"['R 226', 'G 222', 'B 215']",Yellow color family,background-color:#E2DED7;
751,Stolen Kiss,MQ3-34,LRV 74,"['R 239', 'G 220', 'B 211']",Red color family,background-color:#EFDCD3;
752,Moxie,MQ3-35,LRV 72,"['R 229', 'G 218', 'B 216']",Neutral color family,background-color:#E5DAD8;
753,Translucent Silk,MQ3-36,LRV 69,"['R 225', 'G 216', 'B 204']",Neutral color family,background-color:#E1D8CC;
754,Soft Shoe,MQ3-37,LRV 69,"['R 232', 'G 213', 'B 198']",,background-color:#E8D5C6;
755,Suede Beige,MQ3-38,LRV 59,"['R 217', 'G 199', 'B 185']",Neutral color family,background-color:#D9C7B9;
756,Sweet Pastel,MQ3-39,LRV 62,"['R 237', 'G 200', 'B 177']",,background-color:#EDC8B1;
757,Varnished Ivory,MQ3-40,LRV 72,"['R 229', 'G 220', 'B 204']",White color family,background-color:#E5DCCC;
758,Moongaze,MQ3-41,LRV 72,"['R 233', 'G 219', 'B 196']",,background-color:#E9DBC4;
759,Honey Mist,MQ3-42,LRV 69,"['R 229', 'G 217', 'B 178']",Yellow color family,background-color:#E5D9B2;
760,Ceramic Beige,MQ3-43,LRV 66,"['R 237', 'G 209', 'B 172']",Yellow color family,background-color:#EDD1AC;
761,Ancient Scroll,MQ3-44,LRV 63,"['R 225', 'G 205', 'B 173']",Yellow color family,background-color:#E1CDAD;
762,Looking Glass,MQ3-45,LRV 75,"['R 223', 'G 225', 'B 217']",White color family,background-color:#DFE1D9;
763,Folly,MQ3-46,LRV 76,"['R 224', 'G 228', 'B 210']",,background-color:#E0E4D2;
764,Airy Green,MQ3-47,LRV 72,"['R 219', 'G 224', 'B 196']",,background-color:#DBE0C4;
765,Shy Green,MQ3-48,LRV 63,"['R 203', 'G 210', 'B 199']",,background-color:#CBD2C7;
766,Jade Tinge,MQ3-49,LRV 58,"['R 187', 'G 204', 'B 188']",Green color family,background-color:#BBCCBC;
767,River Veil,MQ3-50,LRV 73,"['R 217', 'G 224', 'B 222']",White color family,background-color:#D9E0DE;
768,Crystalline Falls,MQ3-51,LRV 77,"['R 217', 'G 230', 'B 226']",,background-color:#D9E6E2;
769,Sky Light View,MQ3-53,LRV 68,"['R 202', 'G 218', 'B 222']",,background-color:#CADADE;
770,Dayflower,MQ3-54,LRV 58,"['R 184', 'G 204', 'B 205']",,background-color:#B8CCCD;
771,White Lie,MQ3-55,LRV 73,"['R 222', 'G 222', 'B 220']",White color family,background-color:#DEDEDC;
772,Era,MQ3-56,LRV 75,"['R 215', 'G 227', 'B 229']",,background-color:#D7E3E5;
773,Siberian Ice,MQ3-57,LRV 68,"['R 207', 'G 217', 'B 222']",Purple color family,background-color:#CFD9DE;
774,Alice White,MQ3-58,LRV 60,"['R 194', 'G 206', 'B 210']",,background-color:#C2CED2;
775,Will O The Wisp,MQ3-59,LRV 69,"['R 215', 'G 216', 'B 221']",,background-color:#D7D8DD;
776,Blue Gossamer,MQ3-60,LRV 67,"['R 205', 'G 215', 'B 223']",Purple color family,background-color:#CDD7DF;
777,Moonlit Snow,MQ3-61,LRV 64,"['R 206', 'G 210', 'B 215']",Purple color family,background-color:#CED2D7;
778,Dancing Mist,MQ3-62,LRV 58,"['R 191', 'G 200', 'B 216']",Purple color family,background-color:#BFC8D8;
779,Candy Drop,MQ4-01,LRV 20,"['R 194', 'G 93', 'B 106']",Red color family,background-color:#C25D6A;
780,Strawberry Wine,MQ4-02,LRV 24,"['R 203', 'G 106', 'B 107']",,background-color:#CB6A6B;
781,Coral Fountain,MQ4-03,LRV 47,"['R 227', 'G 169', 'B 162']",,background-color:#E3A9A2;
783,Castellina,MQ4-05,LRV 20,"['R 162', 'G 112', 'B 64']",,background-color:#A27040;
784,Invitation Gold,MQ4-06,LRV 22,"['R 166', 'G 119', 'B 63']",Orange color family,background-color:#A6773F;
785,Radiance,MQ4-07,LRV 31,"['R 187', 'G 145', 'B 87']",Yellow color family,background-color:#BB9157;
786,Golden Aura,MQ4-08,LRV 39,"['R 210', 'G 158', 'B 104']",,background-color:#D29E68;
787,Rice Curry,MQ4-09,LRV 27,"['R 178', 'G 133', 'B 74']",Yellow color family,background-color:#B2854A;
788,Amber Brew,MQ4-10,LRV 41,"['R 215', 'G 163', 'B 97']",Yellow color family,background-color:#D7A361;
789,Lamplit,MQ4-11,LRV 48,"['R 228', 'G 175', 'B 101']",,background-color:#E4AF65;
790,Dandelion Wish,MQ4-12,LRV 53,"['R 227', 'G 187', 'B 101']",Yellow color family,background-color:#E3BB65;
791,Celebration,MQ4-13A,LRV 56,"['R 230', 'G 193', 'B 122']",,background-color:#E6C17A;
792,Soapstone,MQ4-14,LRV 14,"['R 17', 'G 120', 'B 91']",Blue color family,background-color:#11785B;
793,Balsam,MQ4-15,LRV 20,"['R 0', 'G 143', 'B 102']",Blue color family,background-color:#008F66;
794,Aruba Green,MQ4-16,LRV 36,"['R 84', 'G 180', 'B 144']",Blue color family,background-color:#54B490;
795,Free Spirit,MQ4-18,LRV 66,"['R 180', 'G 222', 'B 201']",Blue color family,background-color:#B4DEC9;
796,Island Dream,MQ4-20,LRV 26,"['R 19', 'G 155', 'B 162']",Blue color family,background-color:#139BA2;
797,Purple Sky,MQ4-28,LRV 10,"['R 98', 'G 84', 'B 126']",Purple color family,background-color:#62547E;
798,Stardust Evening,MQ4-31,LRV 53,"['R 184', 'G 191', 'B 220']",,background-color:#B8BFDC;
800,Hacienda Tile,MQ4-34,LRV 22,"['R 184', 'G 109', 'B 100']",Red color family,background-color:#B86D64;
801,Torch Red,MQ4-35,LRV 15,"['R 173', 'G 78', 'B 60']",Red color family,background-color:#AD4E3C;
802,Thai Ice Tea,MQ4-36,LRV 45,"['R 224', 'G 168', 'B 120']",Orange color family,background-color:#E0A878;
803,Ferrous,MQ4-37,LRV 34,"['R 204', 'G 146', 'B 108']",Orange color family,background-color:#CC926C;
804,Balcony Sunset,MQ4-38,LRV 35,"['R 215', 'G 142', 'B 107']",,background-color:#D78E6B;
805,Cabana Melon,MQ4-39,LRV 30,"['R 200', 'G 133', 'B 103']",Orange color family,background-color:#C88567;
806,Primitive Green,MQ4-40,LRV 66,"['R 222', 'G 214', 'B 172']",Yellow color family,background-color:#DED6AC;
807,Pistachio,MQ4-42,LRV 42,"['R 188', 'G 175', 'B 101']",Green color family,background-color:#BCAF65;
809,Spring Glow,MQ4-45,LRV 71,"['R 211', 'G 224', 'B 184']",Green color family,background-color:#D3E0B8;
810,Parakeet,MQ4-47,LRV 30,"['R 118', 'G 160', 'B 98']",,background-color:#76A062;
811,Planet Green,MQ4-48,LRV 20,"['R 71', 'G 139', 'B 77']",Green color family,background-color:#478B4D;
812,Emerald Forest,MQ4-49,LRV 15,"['R 80', 'G 116', 'B 74']",Green color family,background-color:#50744A;
813,Gulf Waters,MQ4-52,LRV 32,"['R 45', 'G 166', 'B 191']",Blue color family,background-color:#2DA6BF;
814,Balboa,MQ4-55,LRV 61,"['R 175', 'G 211', 'B 218']",Blue color family,background-color:#AFD3DA;
815,Mondrian Blue,MQ4-58,LRV 12,"['R 13', 'G 103', 'B 152']",Purple color family,background-color:#0D6798;
816,Joie De Vivre,MQ4-60,LRV 31,"['R 188', 'G 134', 'B 175']",Red color family,background-color:#BC86AF;
817,Lilac Intuition,MQ4-61,LRV 25,"['R 154', 'G 126', 'B 167']",,background-color:#9A7EA7;
818,Birthstone,MQ4-62,LRV 12,"['R 121', 'G 84', 'B 122']",Red color family,background-color:#79547A;
819,Extravagance,MQ5-01,LRV 7,"['R 78', 'G 72', 'B 80']",Gray color family,background-color:#4E4850;
821,Old Amethyst,MQ5-03,LRV 24,"['R 135', 'G 134', 'B 143']",,background-color:#87868F;
822,Classy,MQ5-04,LRV 41,"['R 174', 'G 172', 'B 173']",Gray color family,background-color:#AEACAD;
823,Ball Gown,MQ5-06,LRV 9,"['R 82', 'G 86', 'B 97']",Gray color family,background-color:#525661;
824,Masterpiece,MQ5-08,LRV 36,"['R 161', 'G 162', 'B 171']",Gray color family,background-color:#A1A2AB;
825,Manhattan Blue,MQ5-09,LRV 6,"['R 64', 'G 68', 'B 87']",Purple color family,background-color:#404457;
826,Secret Society,MQ5-10,LRV 7,"['R 70', 'G 78', 'B 90']",,background-color:#464E5A;
827,Encore,MQ5-11,LRV 17,"['R 109', 'G 115', 'B 131']",Purple color family,background-color:#6D7383;
828,Applause Please,MQ5-12,LRV 26,"['R 133', 'G 140', 'B 155']",,background-color:#858C9B;
829,Upscale,MQ5-13,LRV 42,"['R 168', 'G 173', 'B 194']",Purple color family,background-color:#A8ADC2;
830,Bon Nuit,MQ5-14,LRV 7,"['R 58', 'G 72', 'B 102']",Purple color family,background-color:#3A4866;
831,Award Night,MQ5-15,LRV 12,"['R 84', 'G 97', 'B 125']",,background-color:#54617D;
832,Montage,MQ5-16,LRV 27,"['R 129', 'G 144', 'B 164']",Purple color family,background-color:#8190A4;
833,Poetry Reading,MQ5-17,LRV 42,"['R 159', 'G 174', 'B 201']",Purple color family,background-color:#9FAEC9;
834,Paparazzi Flash,MQ5-18,LRV 59,"['R 198', 'G 203', 'B 209']",Purple color family,background-color:#C6CBD1;
835,Hypnotic,MQ5-19,LRV 18,"['R 104', 'G 119', 'B 131']",Gray color family,background-color:#687783;
836,Cold Steel,MQ5-20,LRV 27,"['R 128', 'G 143', 'B 152']",Gray color family,background-color:#808F98;
837,Radiant Silver,MQ5-21,LRV 30,"['R 143', 'G 151', 'B 157']",Gray color family,background-color:#8F979D;
838,Rainmaster,MQ5-22,LRV 36,"['R 156', 'G 164', 'B 169']",Gray color family,background-color:#9CA4A9;
839,Intercoastal Gray,MQ5-23,LRV 45,"['R 168', 'G 181', 'B 188']",Gray color family,background-color:#A8B5BC;
840,Opera Glasses,MQ5-24,LRV 8,"['R 54', 'G 83', 'B 96']",Blue color family,background-color:#365360;
841,Rush Hour,MQ5-25,LRV 13,"['R 83', 'G 103', 'B 112']",Blue color family,background-color:#536770;
843,Dawn Gray,MQ5-28,LRV 17,"['R 109', 'G 114', 'B 115']",,background-color:#6D7273;
844,Gotham Gray,MQ5-29,LRV 28,"['R 138', 'G 145', 'B 146']",Gray color family,background-color:#8A9192;
845,Silent Film,MQ5-30,LRV 37,"['R 159', 'G 165', 'B 165']",Gray color family,background-color:#9FA5A5;
846,Distant Star,MQ5-31,LRV 53,"['R 186', 'G 193', 'B 195']",Gray color family,background-color:#BAC1C3;
847,Such Melodrama,MQ5-32,LRV 54,"['R 198', 'G 193', 'B 197']",,background-color:#C6C1C5;
848,Uptown Girl,MQ5-33,LRV 31,"['R 167', 'G 145', 'B 168']",Red color family,background-color:#A791A8;
849,Showstopper,MQ5-34,LRV 14,"['R 127', 'G 96', 'B 127']",,background-color:#7F607F;
850,Plum Rich,MQ5-35,LRV 8,"['R 100', 'G 71', 'B 94']",,background-color:#64475E;
851,Audition,MQ5-36,LRV 43,"['R 181', 'G 172', 'B 183']",Gray color family,background-color:#B5ACB7;
852,Composer's Magic,MQ5-37,LRV 17,"['R 122', 'G 110', 'B 126']",Gray color family,background-color:#7A6E7E;
853,Illusionist,MQ5-38,LRV 9,"['R 87', 'G 79', 'B 100']",Purple color family,background-color:#574F64;
854,Satire,MQ5-40,LRV 55,"['R 196', 'G 194', 'B 205']",,background-color:#C4C2CD;
855,Violet Vixen,MQ5-41,LRV 16,"['R 117', 'G 104', 'B 139']",,background-color:#75688B;
856,Perpetual Purple,MQ5-42,LRV 9,"['R 88', 'G 77', 'B 117']",Purple color family,background-color:#584D75;
857,Movie Magic,MQ5-45,LRV 52,"['R 178', 'G 191', 'B 213']",,background-color:#B2BFD5;
858,Debutante Ball,MQ5-46,LRV 26,"['R 110', 'G 141', 'B 187']",Purple color family,background-color:#6E8DBB;
859,Opal Waters,MQ5-50,LRV 55,"['R 177', 'G 198', 'B 209']",Purple color family,background-color:#B1C6D1;
860,Mystery,MQ5-51,LRV 32,"['R 132', 'G 155', 'B 179']",Purple color family,background-color:#849BB3;
861,Lead Cast,MQ5-52,LRV 21,"['R 108', 'G 128', 'B 156']",Purple color family,background-color:#6C809C;
862,Privileged Elite,MQ5-53,LRV 17,"['R 89', 'G 118', 'B 149']",Purple color family,background-color:#597695;
863,Compass Blue,MQ5-54,LRV 6,"['R 53', 'G 71', 'B 91']",Purple color family,background-color:#35475B;
864,Simply Posh,MQ5-55,LRV 45,"['R 140', 'G 185', 'B 212']",Purple color family,background-color:#8CB9D4;
865,Empire Blue,MQ5-56,LRV 27,"['R 97', 'G 147', 'B 180']",,background-color:#6193B4;
866,Traditional Blue,MQ5-57,LRV 11,"['R 31', 'G 100', 'B 141']",Purple color family,background-color:#1F648D;
867,Velvet Rope,MQ5-58,LRV 8,"['R 54', 'G 82', 'B 106']",,background-color:#36526A;
868,Ovation,MQ5-59,LRV 43,"['R 158', 'G 178', 'B 185']",Gray color family,background-color:#9EB2B9;
869,South Pacific,MQ5-60,LRV 22,"['R 105', 'G 134', 'B 148']",,background-color:#698694;
870,Ocean Storm,MQ5-61,LRV 12,"['R 63', 'G 103', 'B 126']",,background-color:#3F677E;
871,Ocean Abyss,MQ6-01,LRV 8,"['R 42', 'G 86', 'B 91']",Blue color family,background-color:#2A565B;
872,Walk Me Home,MQ6-02,LRV 12,"['R 73', 'G 101', 'B 104']",Blue color family,background-color:#496568;
873,Gray Wool,MQ6-04,LRV 48,"['R 169', 'G 187', 'B 188']",Gray color family,background-color:#A9BBBC;
874,Verdant Forest,MQ6-05,LRV 10,"['R 40', 'G 97', 'B 93']",Blue color family,background-color:#28615D;
875,Semi-precious,MQ6-06,LRV 29,"['R 101', 'G 155', 'B 151']",Blue color family,background-color:#659B97;
876,Schooner,MQ6-07,LRV 34,"['R 131', 'G 164', 'B 163']",Blue color family,background-color:#83A4A3;
877,Aquifer,MQ6-08,LRV 52,"['R 155', 'G 199', 'B 198']",Blue color family,background-color:#9BC7C6;
878,Hostaleaf,MQ6-09,LRV 9,"['R 71', 'G 90', 'B 86']",,background-color:#475A56;
879,Mossy Bench,MQ6-11,LRV 32,"['R 131', 'G 162', 'B 143']",Green color family,background-color:#83A28F;
880,Nature Green,MQ6-12,LRV 37,"['R 125', 'G 175', 'B 148']",,background-color:#7DAF94;
