,id,name,category,collection,hex,lrv,link
112,7003-6,Ivory Lace,White,,#f2e6d1,80.39,valspar.com//en/colors/browse-colors/lowes/white/ivory-lace-7003-6
113,7002-20,Antique White,White,Popular,#f0e6d8,80.368,valspar.com//en/colors/browse-colors/lowes/white/antique-white-7002-20
114,P050,Destined for Greatness,Yellow,The Classic Collection,#fee4c5,80.307,valspar.com//en/colors/browse-colors/independent-retailers/yellow/destined-for-greatness-p050
115,7006-17,Summer Gray,White,Popular,#eae7e1,80.271,valspar.com//en/colors/browse-colors/lowes/white/summer-gray-7006-17
116,3008-2A,Chickery Chick,Yellow,,#ffe692,80.225,valspar.com//en/colors/browse-colors/lowes/yellow/chickery-chick-3008-2a
117,V011-1,Semifreddo,Orange,,#ffe3c0,80.179,valspar.com//en/colors/browse-colors/independent-retailers/orange/semifreddo-v011-1
118,1004-2C,Pixie Dust,Red,,#f9e2e7,80.142,valspar.com//en/colors/browse-colors/lowes/red/pixie-dust-1004-2c
119,2004-4C,Champagne Pink,Orange,,#fae3da,80.121,valspar.com//en/colors/browse-colors/lowes/orange/champagne-pink-2004-4c
120,V165,Open Arms,White,Popular,#f5e5cb,80.062,valspar.com//en/colors/browse-colors/independent-retailers/white/open-arms-v165
121,8003-21A,Cremini Mushroom,Yellow,,#f3e6d0,80.0,valspar.com//en/colors/browse-colors/lowes/yellow/cremini-mushroom-8003-21a
122,8003-20A,Nankeen,Yellow,,#f1e6d5,80.0,valspar.com//en/colors/browse-colors/lowes/yellow/nankeen-8003-20a
123,8002-28A,Origami Clover,Green,,#e5e9ce,80.0,valspar.com//en/colors/browse-colors/lowes/green/origami-clover-8002-28a
124,8001-26A,Beacon,Green,,#ede8c1,80.0,valspar.com//en/colors/browse-colors/lowes/green/beacon-8001-26a
125,8002-39A,Aloha,Blue,,#dce9e9,80.0,valspar.com//en/colors/browse-colors/lowes/blue/aloha-8002-39a
126,8007-1A,Teapot,White,,#e7e7e6,80.0,valspar.com//en/colors/browse-colors/lowes/white/teapot-8007-1a
127,2001-2C,Apricot Ice,Red,,#fae2d8,79.854,valspar.com//en/colors/browse-colors/lowes/red/apricot-ice-2001-2c
128,V176,Double Scoop,Neutral,,#efe6d6,79.846,valspar.com//en/colors/browse-colors/independent-retailers/neutral/double-scoop-v176
129,2002-2C,Peach Kiss,Orange,,#fce2cf,79.781,valspar.com//en/colors/browse-colors/lowes/orange/peach-kiss-2002-2c
130,3008-10C,Cozy White,White,2023 Color Of The Year,#ede6da,79.759,valspar.com//en/colors/browse-colors/lowes/white/cozy-white-3008-10c
131,V060-1,Whiff of Green,Green,Popular,#e0ebd3,79.746,valspar.com//en/colors/browse-colors/independent-retailers/green/whiff-of-green-v060-1
132,7003-12,Frolic,Yellow,,#f2e6ce,79.738,valspar.com//en/colors/browse-colors/lowes/yellow/frolic-7003-12
133,V083-1,Pink Beach,Orange,,#f9e3d1,79.693,valspar.com//en/colors/browse-colors/independent-retailers/orange/pink-beach-v083-1
134,1001-2C,Pink Mist,Red,,#f5e2ea,79.62,valspar.com//en/colors/browse-colors/lowes/red/pink-mist-1001-2c
135,T550,Lantern,Neutral,The Classic Collection,#f3e5c9,79.581,valspar.com//en/colors/browse-colors/independent-retailers/neutral/lantern-t550
136,V048-1,Beyond the Pale,Orange,2022 Color Of The Year,#f9e3cc,79.557,valspar.com//en/colors/browse-colors/independent-retailers/orange/beyond-the-pale-v048-1
137,V057-1,Endive,Green,,#efe8b7,79.547,valspar.com//en/colors/browse-colors/independent-retailers/green/endive-v057-1
138,T556,Nougat,Neutral,The Classic Collection,#f3e4d1,79.419,valspar.com//en/colors/browse-colors/independent-retailers/neutral/nougat-t556
139,3001-4C,Almond Cream,Yellow,,#f7e4ca,79.384,valspar.com//en/colors/browse-colors/lowes/yellow/almond-cream-3001-4c
140,3003-2B,Sunglow,Yellow,Popular,#ffe298,79.252,valspar.com//en/colors/browse-colors/lowes/yellow/sunglow-3003-2b
141,V180,Cannellini Beans,Neutral,,#f7e3cc,79.092,valspar.com//en/colors/browse-colors/independent-retailers/neutral/cannellini-beans-v180
142,3005-8C,Pale Maize,Yellow,,#f6e5be,79.077,valspar.com//en/colors/browse-colors/lowes/yellow/pale-maize-3005-8c
143,6008-7B,Gleeful,Green,,#ece8b1,79.047,valspar.com//en/colors/browse-colors/lowes/green/gleeful-6008-7b
144,3004-8C,Estate Vanilla,Yellow,,#f4e4ca,79.019,valspar.com//en/colors/browse-colors/lowes/yellow/estate-vanilla-3004-8c
145,8003-17A,Nougat,Orange,,#f3e4d1,79.0,valspar.com//en/colors/browse-colors/lowes/orange/nougat-8003-17a
146,V081-1,Pinkwash,Orange,,#f4e3da,79.0,valspar.com//en/colors/browse-colors/independent-retailers/orange/pinkwash-v081-1
147,8004-22A,Snow on the Pines,Green,,#ece5d0,79.0,valspar.com//en/colors/browse-colors/lowes/green/snow-on-the-pines-8004-22a
148,8003-26A,Swan Dance,Green,,#ebe6cc,79.0,valspar.com//en/colors/browse-colors/lowes/green/swan-dance-8003-26a
149,8002-29A,Carpathian Dawn,Green,,#e6e9ce,79.0,valspar.com//en/colors/browse-colors/lowes/green/carpathian-dawn-8002-29a
150,8001-26B,Laughing Liam,Green,,#f2e7b1,79.0,valspar.com//en/colors/browse-colors/lowes/green/laughing-liam-8001-26b
151,3006-10C,Shania's Lace,Green,,#ece5d6,78.861,valspar.com//en/colors/browse-colors/lowes/green/shanias-lace-3006-10c
152,P043,Shell Pink,Orange,The Classic Collection,#f7e1d8,78.811,valspar.com//en/colors/browse-colors/independent-retailers/orange/shell-pink-p043
153,V010-1,Silk Teddy,Orange,Popular,#f2e3d1,78.764,valspar.com//en/colors/browse-colors/independent-retailers/orange/silk-teddy-v010-1
154,7004-6,Gray Opal,White,,#dde8e8,78.727,valspar.com//en/colors/browse-colors/lowes/white/gray-opal-7004-6
155,3002-2B,Peach Tickle,Yellow,,#ffe19c,78.712,valspar.com//en/colors/browse-colors/lowes/yellow/peach-tickle-3002-2b
156,M213,Hint of Cream,White,The Bold Collection,#eae5da,78.692,valspar.com//en/colors/browse-colors/independent-retailers/white/hint-of-cream-m213
157,2007-6C,Sweet Sand,Orange,,#f4e3ce,78.6,valspar.com//en/colors/browse-colors/lowes/orange/sweet-sand-2007-6c
158,V154,Bubble Bath,White,Popular,#ebe5d9,78.561,valspar.com//en/colors/browse-colors/independent-retailers/white/bubble-bath-v154
159,V046-1,Blushing Peach,Orange,,#fbe0ce,78.512,valspar.com//en/colors/browse-colors/independent-retailers/orange/blushing-peach-v046-1
160,M312,Lime-Washed,White,The Soft Collection,#eae5d3,78.506,valspar.com//en/colors/browse-colors/independent-retailers/white/lime-washed-m312
161,V168,Nice and Easy,Neutral,"Popular,2023 Color Of The Year",#efe4d5,78.462,valspar.com//en/colors/browse-colors/independent-retailers/neutral/nice-and-easy-v168
162,V099-1,Alpine Peak,Blue,,#dfe7e0,78.312,valspar.com//en/colors/browse-colors/independent-retailers/blue/alpine-peak-v099-1
163,V031-1,Babymoon Blue,Blue,,#d3e9ec,78.273,valspar.com//en/colors/browse-colors/independent-retailers/blue/babymoon-blue-v031-1
164,T667,Jasmine Rice,Green,The Classic Collection,#e3e6df,78.235,valspar.com//en/colors/browse-colors/independent-retailers/green/jasmine-rice-t667
165,V162,Whisper Softly,White,Popular,#e6e5e1,78.221,valspar.com//en/colors/browse-colors/independent-retailers/white/whisper-softly-v162
166,5004-3A,Pirate Coast,Blue,,#dde7e1,78.213,valspar.com//en/colors/browse-colors/lowes/blue/pirate-coast-5004-3a
167,1005-2C,Pink Ribbon,Red,,#f9dee5,78.207,valspar.com//en/colors/browse-colors/lowes/red/pink-ribbon-1005-2c
168,V169,Dance of the Goddesses,White,,#ede3db,78.198,valspar.com//en/colors/browse-colors/independent-retailers/white/dance-of-the-goddesses-v169
169,V103-1,Blue Bottle,Blue,Popular,#dbe7e6,78.091,valspar.com//en/colors/browse-colors/independent-retailers/blue/blue-bottle-v103-1
170,V054-2,Float Like a Butterfly,Yellow,Popular,#fde399,78.086,valspar.com//en/colors/browse-colors/independent-retailers/yellow/float-like-a-butterfly-v054-2
171,5006-5A,Minty Delight,Green,,#dbe8dd,78.06,valspar.com//en/colors/browse-colors/lowes/green/minty-delight-5006-5a
172,V143-1,Transparent,Gray,,#e4e5e0,78.026,valspar.com//en/colors/browse-colors/independent-retailers/gray/transparent-v143-1
173,6003-9A,Delicate Frost,Green,,#ceecdb,78.008,valspar.com//en/colors/browse-colors/lowes/green/delicate-frost-6003-9a
174,8001-9A,Eliza Jane,Red,,#f6dfe3,78.0,valspar.com//en/colors/browse-colors/lowes/red/eliza-jane-8001-9a
175,8003-22A,Honey Moon,Yellow,,#efe3d1,78.0,valspar.com//en/colors/browse-colors/lowes/yellow/honey-moon-8003-22a
176,8003-38A,Blue Bottle,Blue,,#dbe7e6,78.0,valspar.com//en/colors/browse-colors/lowes/blue/blue-bottle-8003-38a
177,8007-4F,Gosling,White,,#e6e5de,78.0,valspar.com//en/colors/browse-colors/lowes/white/gosling-8007-4f
178,T544,Soft & Warm,Neutral,The Classic Collection,#ece3d9,77.994,valspar.com//en/colors/browse-colors/independent-retailers/neutral/soft-warm-t544
179,7004-1,Winter Dawn,White,,#e7e4e3,77.852,valspar.com//en/colors/browse-colors/lowes/white/winter-dawn-7004-1
180,V084-1,Siren Song,Neutral,,#f4e1d2,77.764,valspar.com//en/colors/browse-colors/independent-retailers/neutral/siren-song-v084-1
181,T657,New Baby Smell,White,The Classic Collection,#e1e6da,77.664,valspar.com//en/colors/browse-colors/independent-retailers/white/new-baby-smell-t657
182,V161,Friendly Ghost,White,,#e4e4e2,77.659,valspar.com//en/colors/browse-colors/independent-retailers/white/friendly-ghost-v161
183,V167,Navy Bean,White,2022 Color Of The Year,#e8e4db,77.636,valspar.com//en/colors/browse-colors/independent-retailers/white/navy-bean-v167
184,6008-5B,Heart of Palm,Green,,#f3e3b7,77.567,valspar.com//en/colors/browse-colors/lowes/green/heart-of-palm-6008-5b
185,3002-8C,Subtle Blush,Orange,,#f3e1cd,77.544,valspar.com//en/colors/browse-colors/lowes/orange/subtle-blush-3002-8c
186,V043-1,Bunny Ears,Red,,#faded7,77.453,valspar.com//en/colors/browse-colors/independent-retailers/red/bunny-ears-v043-1
187,M211,Bistro Napkin,White,The Bold Collection,#ece2dc,77.37,valspar.com//en/colors/browse-colors/independent-retailers/white/bistro-napkin-m211
188,M319,Moon Garden,White,The Soft Collection,#dfe5e3,77.361,valspar.com//en/colors/browse-colors/independent-retailers/white/moon-garden-m319
189,V142-1,Ghost Story,Gray,Popular,#e4e4db,77.324,valspar.com//en/colors/browse-colors/independent-retailers/gray/ghost-story-v142-1
190,7004-24,Angel Touch,Green,,#e2e4de,77.236,valspar.com//en/colors/browse-colors/lowes/green/angel-touch-7004-24
191,T643,Bare Minimum,White,The Classic Collection,#d9e6e9,77.157,valspar.com//en/colors/browse-colors/independent-retailers/white/bare-minimum-t643
192,V170,Humble Beginnings,White,,#e9e2dc,77.118,valspar.com//en/colors/browse-colors/independent-retailers/white/humble-beginnings-v170
193,V018-1,Dainty Daisy,Yellow,Popular,#f6e3a6,77.108,valspar.com//en/colors/browse-colors/independent-retailers/yellow/dainty-daisy-v018-1
194,5002-7A,Tropical Mist,Blue,,#cee9e9,77.092,valspar.com//en/colors/browse-colors/lowes/blue/tropical-mist-5002-7a
195,1002-4C,Cascadia,Purple,,#f2deeb,77.081,valspar.com//en/colors/browse-colors/lowes/purple/cascadia-1002-4c
196,7002-21,Cameo White,Yellow,,#f2e1ca,77.08,valspar.com//en/colors/browse-colors/lowes/yellow/cameo-white-7002-21
197,7006-8,Divine Cream,White,,#e5e4d8,77.053,valspar.com//en/colors/browse-colors/lowes/white/divine-cream-7006-8
198,V026-1,Woolly Mint,Green,,#c8ebd9,77.001,valspar.com//en/colors/browse-colors/independent-retailers/green/woolly-mint-v026-1
199,8002-35A,Luminous Mist,Green,,#d9e6df,77.0,valspar.com//en/colors/browse-colors/lowes/green/luminous-mist-8002-35a
200,8001-31A,Refreshing Green,Green,,#cfebce,77.0,valspar.com//en/colors/browse-colors/lowes/green/refreshing-green-8001-31a
201,8003-43A,Bare Minimum,Blue,,#d9e6e9,77.0,valspar.com//en/colors/browse-colors/lowes/blue/bare-minimum-8003-43a
202,8007-3E,Northbound,White,,#dde5e6,77.0,valspar.com//en/colors/browse-colors/lowes/white/northbound-8007-3e
203,8007-12F,Barley,White,,#e7e3dc,77.0,valspar.com//en/colors/browse-colors/lowes/white/barley-8007-12f
204,8007-12B,White Wool,White,The Soft Collection,#e6e2df,77.0,valspar.com//en/colors/browse-colors/lowes/white/white-wool-8007-12b
205,8004-29A,Ghost Story,Gray,,#e4e4db,77.0,valspar.com//en/colors/browse-colors/lowes/gray/ghost-story-8004-29a
